Chr	TotalGen	SeedingPopSize	PopSize	h	h_sd	s	s_sd	RecPerChr	TopPercentileForBreeding	MeanHomDel	SDHomDel	MeanDel	SDDel	GenotypedMarkerPerc	Reps
24	200	10	100	0	0.25	0.003	0.0015	2	1	-1	1	-1	2	1	10
24	200	10	100	0	0.25	0.003	0.0015	2	1	-1	5	-1	10	1	10
24	200	10	100	0	0.25	0.003	0.0015	2	1	-1	15	-1	30	1	10
24	200	10	100	0	0.25	0.003	0.0015	2	1	-1	30	-1	60	1	10
24	200	10	100	0	0.25	0.003	0.0015	2	1	-1	40	-1	80	1	10
24	200	10	100	0	0.25	0.003	0.0015	2	0.25	-1	1	-1	2	1	10
24	200	10	100	0	0.25	0.003	0.0015	2	0.25	-1	5	-1	10	1	10
24	200	10	100	0	0.25	0.003	0.0015	2	0.25	-1	15	-1	30	1	10
24	200	10	100	0	0.25	0.003	0.0015	2	0.25	-1	30	-1	60	1	10
24	200	10	100	0	0.25	0.003	0.0015	2	0.25	-1	40	-1	80	1	10
24	200	10	100	0	0.25	0.003	0.0015	2	0.5	-1	1	-1	2	1	10
24	200	10	100	0	0.25	0.003	0.0015	2	0.5	-1	5	-1	10	1	10
24	200	10	100	0	0.25	0.003	0.0015	2	0.5	-1	15	-1	30	1	10
24	200	10	100	0	0.25	0.003	0.0015	2	0.5	-1	30	-1	60	1	10
24	200	10	100	0	0.25	0.003	0.0015	2	0.5	-1	40	-1	80	1	10
