Chr	TotalGen	SeedingPopSize	PopSize	h	h_sd	s	s_sd	RecPerChr	TopPercentileForBreeding	MeanHomDel	SDHomDel	MeanDel	SDDel	GenotypedMarkerPerc	Reps
24	200	10	100	0	0.25	0.006	0.003	2	1	-1	-1	-1	-1	1	10
24	200	10	100	0.5	0.25	0.006	0.003	2	1	-1	-1	-1	-1	1	10
24	200	10	100	0.5	0	0.006	0	2	1	-1	-1	-1	-1	1	10
24	200	10	100	0	0.25	0.006	0.003	2	0.5	-1	-1	-1	-1	1	10
24	200	10	100	0.5	0.25	0.006	0.003	2	0.5	-1	-1	-1	-1	1	10
24	200	10	100	0	0.25	0.006	0.003	2	0.25	-1	-1	-1	-1	1	10
24	200	10	100	0.5	0.25	0.006	0.003	2	0.25	-1	-1	-1	-1	1	10
24	200	10	100	0.5	0.25	0.006	0.003	2	0.25	-1	-1	-1	-1	0.5	10
24	200	10	100	0	0.25	0.006	0.003	2	0.25	-1	-1	-1	-1	0.5	10
24	200	10	100	0.5	0.25	0.006	0.003	2	0.25	-1	-1	-1	-1	0.25	10
24	200	10	100	0	0.25	0.006	0.003	2	0.25	-1	-1	-1	-1	0.25	10
24	200	10	100	0.5	0.25	0.006	0.003	2	0.25	-1	-1	-1	-1	0.1	10
24	200	10	100	0	0.25	0.006	0.003	2	0.25	-1	-1	-1	-1	0.1	10
24	200	10	100	0.5	0.25	0.006	0.003	2	0.25	-1	-1	-1	-1	0.05	10
24	200	10	100	0	0.25	0.006	0.003	2	0.25	-1	-1	-1	-1	0.05	10
24	200	10	1000	0	0.25	0.006	0.003	2	1	-1	-1	-1	-1	1	10
24	200	10	1000	0.5	0.25	0.006	0.003	2	1	-1	-1	-1	-1	1	10
24	200	10	1000	0.5	0	0.006	0	2	1	-1	-1	-1	-1	1	10
24	200	10	1000	0.5	0.25	0.006	0.003	2	0.5	-1	-1	-1	-1	1	10
24	200	10	1000	0	0.25	0.006	0.003	2	0.25	-1	-1	-1	-1	1	10
24	200	10	1000	0.5	0.25	0.006	0.003	2	0.25	-1	-1	-1	-1	1	10
24	200	10	1000	0.5	0.25	0.006	0.003	2	0.25	-1	-1	-1	-1	0.5	10
24	200	10	1000	0	0.25	0.006	0.003	2	0.25	-1	-1	-1	-1	0.5	10
24	200	10	1000	0.5	0.25	0.006	0.003	2	0.25	-1	-1	-1	-1	0.25	10
24	200	10	1000	0	0.25	0.006	0.003	2	0.25	-1	-1	-1	-1	0.25	10
24	200	10	1000	0.5	0.25	0.006	0.003	2	0.25	-1	-1	-1	-1	0.1	10
24	200	10	1000	0	0.25	0.006	0.003	2	0.25	-1	-1	-1	-1	0.1	10
24	200	10	1000	0.5	0.25	0.006	0.003	2	0.25	-1	-1	-1	-1	0.05	10
24	200	10	1000	0	0.25	0.006	0.003	2	0.25	-1	-1	-1	-1	0.05	10

